TransID	ActivityName	Time	eLetter_Type	eLetter_ID	ShapeID	ShapeNumber	OK_After_Review_14_perc	OK_After_Review_17_perc	OK_After_Review_25_perc	ProcessName	Analyze_Criteria_AVG	Analyze_Criteria_STD	Create_Initial_Draft_MAX	Create_Initial_Draft_MIN	Create_Proof_AVG	Create_Proof_STD	Delta_Time	Gather_Materials	Internal_Review_MAX	Internal_Review_MIN	Modify_Criteria_AVG	Modify_Criteria_STD	Optimize_Graphics_MAX	Optimize_Graphics_MIN	Outline_Text	Paste_In_Template_AVG	Paste_In_Template_STD	Preempt	Priority	Pull_Target_List_MAX	Pull_Target_List_MIN	Review_13_AVG	Review_13_STD	Review_16_AVG	Review_16_STD	Send_On
1	Request	0	Type_1	1	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Request	600	Type_1	1	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Start	600	Type_1	1	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Start	600	Type_1	1	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Schedule Activities	600	Type_1	1	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Schedule Activities	2062.294853	Type_1	1	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Broadcast Request for Related Articles	2062.294853	Type_1	1	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Broadcast Request for Related Articles	2962.294853	Type_1	1	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Delay	2962.294853	Type_1	1	1022	6	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Request	7200	Type_2	2	767	1	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Request	7800	Type_2	2	767	1	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Start	7800	Type_2	2	1376	2	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Start	7800	Type_2	2	1376	2	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Schedule Activities	7800	Type_2	2	15	3	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Schedule Activities	8782.455046	Type_2	2	15	3	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Broadcast Request for Related Articles	8782.455046	Type_2	2	194	5	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Broadcast Request for Related Articles	9682.455046	Type_2	2	194	5	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
2	Delay	9682.455046	Type_2	2	1022	6	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
3	Request	21600	Type_4	4	767	1	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Request	22200	Type_4	4	767	1	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Start	22200	Type_4	4	1376	2	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Start	22200	Type_4	4	1376	2	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Schedule Activities	22200	Type_4	4	15	3	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Schedule Activities	23457.833566	Type_4	4	15	3	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Broadcast Request for Related Articles	23457.833566	Type_4	4	194	5	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Broadcast Request for Related Articles	24357.833566	Type_4	4	194	5	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
3	Delay	24357.833566	Type_4	4	1022	6	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30
4	Request	28800	Type_1	5	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
4	Request	29400	Type_1	5	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
4	Start	29400	Type_1	5	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
4	Start	29400	Type_1	5	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
4	Schedule Activities	29400	Type_1	5	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
4	Schedule Activities	30915.482697	Type_1	5	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
4	Broadcast Request for Related Articles	30915.482697	Type_1	5	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
1	Delay	31163.936862	Type_1	1	1022	6	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10
