	TransID	ActivityName	Time	eLetter_Type	eLetter_ID	ShapeID	ShapeNumber	OK_After_Review_14_perc	OK_After_Review_17_perc	OK_After_Review_25_perc	ProcessName	Analyze_Criteria_AVG	Analyze_Criteria_STD	Create_Initial_Draft_MAX	Create_Initial_Draft_MIN	Create_Proof_AVG	Create_Proof_STD	Delta_Time	Gather_Materials	Internal_Review_MAX	Internal_Review_MIN	Modify_Criteria_AVG	Modify_Criteria_STD	Optimize_Graphics_MAX	Optimize_Graphics_MIN	Outline_Text	Paste_In_Template_AVG	Paste_In_Template_STD	Preempt	Priority	Pull_Target_List_MAX	Pull_Target_List_MIN	Review_13_AVG	Review_13_STD	Review_16_AVG	Review_16_STD	Send_On	timeStamp	caseEnd	caseStart	relativeTime	relativeTime_s
0	1	Request	600.0	Type_1	1	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 10:10:00.000000000	2016-01-01 10:10:00.000000000	2016-01-01 10:00:00.000000000	0 days 00:10:00	600
1	1	Start	600.0	Type_1	1	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 10:10:00.000000000	2016-01-01 10:10:00.000000000	2016-01-01 10:10:00.000000000	0 days 00:00:00	0
2	1	Schedule Activities	2062.294853	Type_1	1	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 10:34:22.294853000	2016-01-01 10:34:22.294853000	2016-01-01 10:10:00.000000000	0 days 00:24:22.294853	1462
3	1	Broadcast Request for Related Articles	2962.294853	Type_1	1	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 10:49:22.294853000	2016-01-01 10:49:22.294853000	2016-01-01 10:34:22.294853000	0 days 00:15:00	900
4	1	Delay	31163.936862	Type_1	1	1022	6	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 18:39:23.936862000	2016-01-01 18:39:23.936862000	2016-01-01 10:49:22.294853000	0 days 07:50:01.642009	28201
5	2	Request	7800.0	Type_2	2	767	1	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 12:10:00.000000000	2016-01-01 12:10:00.000000000	2016-01-01 12:00:00.000000000	0 days 00:10:00	600
6	2	Start	7800.0	Type_2	2	1376	2	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 12:10:00.000000000	2016-01-01 12:10:00.000000000	2016-01-01 12:10:00.000000000	0 days 00:00:00	0
7	2	Schedule Activities	8782.455046	Type_2	2	15	3	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 12:26:22.455046000	2016-01-01 12:26:22.455046000	2016-01-01 12:10:00.000000000	0 days 00:16:22.455046	982
8	2	Broadcast Request for Related Articles	9682.455046	Type_2	2	194	5	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 12:41:22.455046000	2016-01-01 12:41:22.455046000	2016-01-01 12:26:22.455046000	0 days 00:15:00	900
9	2	Delay	35321.041293	Type_2	2	1022	6	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 19:48:41.041293000	2016-01-01 19:48:41.041293000	2016-01-01 12:41:22.455046000	0 days 07:07:18.586247	25638
10	3	Request	22200.0	Type_4	4	767	1	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-01 16:10:00.000000000	2016-01-01 16:10:00.000000000	2016-01-01 16:00:00.000000000	0 days 00:10:00	600
11	3	Start	22200.0	Type_4	4	1376	2	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-01 16:10:00.000000000	2016-01-01 16:10:00.000000000	2016-01-01 16:10:00.000000000	0 days 00:00:00	0
12	3	Schedule Activities	23457.833566	Type_4	4	15	3	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-01 16:30:57.833566000	2016-01-01 16:30:57.833566000	2016-01-01 16:10:00.000000000	0 days 00:20:57.833566	1257
13	3	Broadcast Request for Related Articles	24357.833566	Type_4	4	194	5	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-01 16:45:57.833566000	2016-01-01 16:45:57.833566000	2016-01-01 16:30:57.833566000	0 days 00:15:00	900
14	3	Delay	51835.743363	Type_4	4	1022	6	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 00:23:55.743363000	2016-01-02 00:23:55.743363000	2016-01-01 16:45:57.833566000	0 days 07:37:57.909797	27477
15	4	Request	29400.0	Type_1	5	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 18:10:00.000000000	2016-01-01 18:10:00.000000000	2016-01-01 18:00:00.000000000	0 days 00:10:00	600
16	4	Start	29400.0	Type_1	5	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 18:10:00.000000000	2016-01-01 18:10:00.000000000	2016-01-01 18:10:00.000000000	0 days 00:00:00	0
17	4	Schedule Activities	30915.482697	Type_1	5	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 18:35:15.482697000	2016-01-01 18:35:15.482697000	2016-01-01 18:10:00.000000000	0 days 00:25:15.482697	1515
18	4	Broadcast Request for Related Articles	31815.482697	Type_1	5	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 18:50:15.482697000	2016-01-01 18:50:15.482697000	2016-01-01 18:35:15.482697000	0 days 00:15:00	900
19	1	Gather Materials	31763.936862	Type_1	1	1341	7	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-01 18:49:23.936862000	2016-01-01 18:49:23.936862000	2016-01-01 18:39:23.936862000	0 days 00:10:00	600
20	6	Outline Text, Targeting, and URLs	86663.936862	Type_1	1	205	8	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:04:23.936862000	2016-01-02 10:04:23.936862000	2016-01-01 18:49:23.936862000	0 days 15:15:00	54900
21	4	Delay	55743.539184	Type_1	5	1022	6	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 01:29:03.539184000	2016-01-02 01:29:03.539184000	2016-01-01 18:50:15.482697000	0 days 06:38:48.056487	23928
22	2	Gather Materials	87600.0	Type_2	2	1341	7	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:20:00.000000000	2016-01-02 10:20:00.000000000	2016-01-01 19:48:41.041293000	0 days 14:31:18.958707	52278
23	3	Gather Materials	88200.0	Type_4	4	1341	7	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 10:30:00.000000000	2016-01-02 10:30:00.000000000	2016-01-02 00:23:55.743363000	0 days 10:06:04.256637	36364
